Afghanistan       Kabul

Algeria       Algiers

Angola       Luanda

Argentina       Buenos_Aires

Armenia       Yerevan

Australia       Canberra

Austria       Vienna

Azerbaijan       Baku

Bahrain       Manama

Bangladesh       Dhaka

Barbados       Bridgetown

Belarus       Minsk

Belgium       City_of_Brussels

Belize       Belmopan

Benin       Porto-Novo

Bolivia       Sucre

Bosnia_and_Herzegovina       Sarajevo

Brazil       Brasília

Bulgaria       Sofia

Burkina_Faso       Ouagadougou

Burundi       Bujumbura

Cambodia       Phnom_Penh

Cameroon       Yaoundé

Canada       Ottawa

Central_African_Republic       Bangui

Chad       N'Djamena

Chile       Santiago

China       Beijing

Colombia       Bogotá

Comoros       Moroni,_Comoros

Costa_Rica       San_José,_Costa_Rica

Croatia       Zagreb

Cuba       Havana

Cyprus       Nicosia

Czech_Republic       Prague

Democratic_Republic_of_the_Congo       Kinshasa

Denmark       Copenhagen

Djibouti       Djibouti_(city)

Dominica       Roseau

Dominican_Republic       Santo_Domingo

Donetsk_People's_Republic       Donetsk

East_Timor       Dili

Ecuador       Quito

Egypt       Cairo

El_Salvador       San_Salvador

Empire_of_China_(1915–16)       Beijing

Equatorial_Guinea       Malabo

Eritrea       Asmara

Estonia       Tallinn

Ethiopia       Addis_Ababa

Fiji       Suva

France       Paris

Gabon       Libreville

Georgia_(country)       Tbilisi

Georgia_(country)       Kutaisi

Germany       Berlin

Ghana       Accra

Greece       Athens

Grenada       St._George's,_Grenada

Guatemala       Guatemala_City

Guinea       Conakry

Guinea-Bissau       Bissau

Guyana       Georgetown,_Guyana

Haiti       Port-au-Prince

Honduras       Tegucigalpa

Hungary       Budapest

India       New_Delhi

Indonesia       Jakarta

Iran       Tehran

Iraq       Baghdad

Israel       Jerusalem

Italy       Rome

Ivory_Coast       Abidjan

Ivory_Coast       Yamoussoukro

Jamaica       Kingston,_Jamaica

Japan       Tokyo

Jordan       Amman

Kazakhstan       Astana

Kenya       Nairobi

Kingdom_of_the_Netherlands       Amsterdam

Kosovo       Pristina

Kuwait       Kuwait_City

Kyrgyzstan       Bishkek

Laos       Vientiane

Latvia       Riga

Lebanon       Beirut

Lesotho       Maseru

Liberia       Monrovia

Libya       Tripoli

Lithuania       Vilnius

Madagascar       Antananarivo

Malawi       Lilongwe

Malaysia       Kuala_Lumpur

Malaysia       Putrajaya

Mali       Bamako

Malta       Valletta

Mauritania       Nouakchott

Mauritius       Port_Louis

