Aamir_Khan Kiran_Rao
Aang Katara
Aaron_Spelling Candy_Spelling
Abby_Brammell Jake_La_Botz
Abdul_Sattar_Edhi Bilquis_Edhi
Adam Eve
Adam_Housley Tamera_Mowry
Aditya_Chopra Rani_Mukerji
Agnès_Varda Jacques_Demy
Agyness_Deyn Giovanni_Ribisi
Ajay_Devgan Kajol
Ajay_Piramal Swati_Piramal
Akihito Empress_Michiko
Al_Gore Tipper_Gore
Albertina_Sisulu Walter_Sisulu
Alexander_Korda Merle_Oberon
Alexandra_Hedison Jodie_Foster
Alexandre_Rockwell Jennifer_Beals
Alexis_Bledel Vincent_Kartheiser
Aline_Chrétien Jean_Chrétien
Alysia_Reiner David_Alan_Basche
Amanda_Peet David_Benioff
Amy_Pascal Bernard_Weinraub
Angela_Kinsey Warren_Lieberstein
Angela_Merkel Joachim_Sauer
Ann_Dunham Lolo_Soetoro
Anne_Meara Jerry_Stiller
Annie_Lowrey Ezra_Klein
Anthony_Franciosa Shelley_Winters
Anthony_LaPaglia Gia_Carides
Anthony_Mandler Denise_Vasi
Anthony_Weiner Huma_Abedin
Anwar_Sadat Jehan_Sadat
Aouda Phileas_Fogg
Archie_Kao Zhou_Xun
Aristotle_Onassis Jacqueline_Kennedy_Onassis
Arjun_Punj Gurdeep_Kohli
Arnold_Schwarzenegger Maria_Shriver
Arnulfo_Arias Mireya_Moscoso
Ashok_Kumar_Jain Indu_Jain
Asif_Ali_Zardari Benazir_Bhutto
Ava_Gardner Frank_Sinatra
Avis_DeVoto Bernard_DeVoto
Avril_Lavigne Chad_Kroeger
Axel_Springer Friede_Springer
Azrinaz_Mazhar_Hakim Hassanal_Bolkiah
Bachir_Gemayel Solange_Gemayel
Barangaroo Bennelong
Barbara_Amiel Conrad_Black
Barbara_Mallory_Caraway Dwaine_Caraway
Barbra_Streisand James_Brolin
Barney_Rubble Betty_Rubble
Basanti_Devi Chittaranjan_Das
Belinda_Neal John_Della_Bosca
Ben_Affleck Jennifer_Garner
Ben_Kingsley Daniela_Lavender
Betsy_DeVos Dick_DeVos
Beverly_LaHaye Tim_LaHaye
Beyoncé Jay_Z
Bill_Rancic Giuliana_Rancic
Björn_Ulvaeus Agnetha_Fältskog
Bob_Dole Elizabeth_Dole
Bob_Hawke Hazel_Hawke
Bonnie_Lythgoe Nigel_Lythgoe
Brandi_Glanville Eddie_Cibrian
Brandon_Barash Kirsten_Storms
Brian_Mulroney Mila_Mulroney
Britney_Spears Kevin_Federline
Bruce_Dern Diane_Ladd
Bruce_Rauner Diana_Rauner
Bruce_Tulgan Debby_Applegate
Bruce_Willis Demi_Moore
Brían_F._O'Byrne Heather_Goldenhersh
Burgess_Meredith Paulette_Goddard
Bülent_Ecevit Rahşan_Ecevit
Callista_Gingrich Newt_Gingrich
Carmela_Soprano Tony_Soprano
Carroll_Rosenbloom Georgia_Frontiere
Catherine_Keener Dermot_Mulroney
Celine_Dion René_Angélil
Channing_Tatum Jenna_Dewan
Charles_Saatchi Nigella_Lawson
Chaya_Singh Krishna
Cheddi_Jagan Janet_Jagan
Cher Gregg_Allman
