Aamir_Khan Kiran_Rao
Aang Katara
Aaron_Spelling Candy_Spelling
Aashish_Chaudhary Samita_Bangargi
Abbas_Tyrewala Pakhi_Tyrewala
Abby_Brammell Jake_La_Botz
Abdoulaye_Wade Viviane_Wade
Abdul_Sattar_Edhi Bilquis_Edhi
Abdullah_Ahmad_Badawi Endon_Mahmood
Abhishek_Bachchan Aishwarya_Rai
Abigail_Cruttenden Sean_Bean
Adam Eve
Adam_Brody Leighton_Meester
Adam_C._Engst Tonya_Engst
Adam_Housley Tamera_Mowry
Adelaide_Tambo Oliver_Tambo
Adhuna_Akhtar Farhan_Akhtar
Adi_Godrej Parmeshwar_Godrej
Aditya_Chopra Rani_Mukerji
Agnès_Varda Jacques_Demy
Agyness_Deyn Giovanni_Ribisi
Ajay_Devgan Kajol
Ajay_Piramal Swati_Piramal
Akhilesh_Yadav Dimple_Yadav
Akihito Empress_Michiko
Akshay_Kumar Twinkle_Khanna
Al_Gore Tipper_Gore
Al_Jolson Ruby_Keeler
Alan_Lowenthal Bonnie_Lowenthal
Alan_Ruck Mireille_Enos
Albert_Finney Anouk_Aimée
Albertina_Sisulu Walter_Sisulu
Alejandro_Toledo Eliane_Karp
Alexa_Havins Justin_Bruening
Alexa_Vega Sean_Covel
Alexander_Korda Merle_Oberon
Alexandra_Hedison Jodie_Foster
Alexandra_Wentworth George_Stephanopoulos
Alexandre_Rockwell Karyn_Parsons
Alexandre_Rockwell Jennifer_Beals
Alexis_Bledel Vincent_Kartheiser
Alfred_Hitchcock Alma_Reville
Alicia_Keys Swizz_Beatz
Aline_Chrétien Jean_Chrétien
Alysia_Reiner David_Alan_Basche
Alyson_Hannigan Alexis_Denisof
Amal_Neerad Jyothirmayi
Amanda_Peet David_Benioff
Amarinder_Singh Preneet_Kaur
Amber_Heard Johnny_Depp
Amelia_Heinle Thad_Luckinbill
Amitabh_Thakur Nutan_Thakur
Amy_Brenneman Brad_Silberling
Amy_Pascal Bernard_Weinraub
Andrei_Sakharov Yelena_Bonner
Andrew_Lloyd_Webber Sarah_Brightman
Andrew_Shue Amy_Robach
Andy_Serkis Lorraine_Ashbourne
Angela_Kinsey Warren_Lieberstein
Angela_Merkel Joachim_Sauer
Ann_Druyan Carl_Sagan
Ann_Dunham Lolo_Soetoro
Anna_Komorowska Bronisław_Komorowski
Anne_Applebaum Radosław_Sikorski
Anne_Meara Jerry_Stiller
Anne_Morrow_Lindbergh Charles_Lindbergh
Annie_Lowrey Ezra_Klein
Anthony_Albanese Carmel_Tebbutt
Anthony_Franciosa Shelley_Winters
Anthony_LaPaglia Gia_Carides
Anthony_Mandler Denise_Vasi
Anthony_Weiner Huma_Abedin
Antoine_Fuqua Lela_Rochon
Anton_Chekhov Olga_Knipper
Antonio_Banderas Melanie_Griffith
Antonio_Damasio Hanna_Damasio
Antonio_Leviste Loren_Legarda
Anup_Soni Juhi_Babbar
Anupama_Chopra Vidhu_Vinod_Chopra
Anurag_Kashyap Aarti_Bajaj
Anusha_Rizvi Mahmood_Farooqui
Anwar_Sadat Jehan_Sadat
