[('United_States', 0.3659670352935791), ('Great_Britian', 0.3485589921474457), ('WCup_qualifier', 0.3476853370666504)] Kabul
[('Paraguay', 0.36084306240081787), ('United_States', 0.3578678071498871), ('Ecuador', 0.3521132171154022)] Luanda
[('United_States', 0.3668271601200104), ('Argentina', 0.3637218475341797), ('Paraguay', 0.36106443405151367)] Buenos_Aires
[('United_States', 0.3589908182621002), ('WCup_qualifier', 0.34970906376838684), ('Great_Britian', 0.3474472761154175)] Manama
[('United_States', 0.3592991232872009), ('Paraguay', 0.34756937623023987), ('WCup_qualifier', 0.34655535221099854)] Dhaka
[('United_States', 0.36146706342697144), ('WCup_qualifier', 0.3511672616004944), ('Slovenia', 0.3500710427761078)] Minsk
[('United_States', 0.35382670164108276), ('Paraguay', 0.34838759899139404), ('Great_Britian', 0.3475934863090515)] Belmopan
[('Ecuador', 0.3585931062698364), ('Paraguay', 0.35675427317619324), ('United_States', 0.3548184037208557)] Sucre
[('United_States', 0.35780584812164307), ('Paraguay', 0.3541284203529358), ('Ecuador', 0.351001501083374)] Ouagadougou
[('United_States', 0.36082568764686584), ('Great_Britian', 0.35546770691871643), ('WCup_qualifier', 0.3498743772506714)] N'Djamena
[('United_States', 0.3566516637802124), ('Paraguay', 0.35042107105255127), ('Ecuador', 0.347484827041626)] Santiago
[('United_States', 0.3666706085205078), ('Great_Britian', 0.3516813814640045), ('WCup_qualifier', 0.3432222008705139)] Beijing
[('Slovenia', 0.3583570718765259), ('United_States', 0.3581289052963257), ('Paraguay', 0.3543257713317871)] Zagreb
[('United_States', 0.366119384765625), ('Paraguay', 0.3526116609573364), ('Great_Britian', 0.3500044047832489)] Havana
[('United_States', 0.36189794540405273), ('Great_Britian', 0.35232535004615784), ('WCup_qualifier', 0.3482286334037781)] Prague
[('United_States', 0.36283162236213684), ('Great_Britian', 0.3508725166320801), ('WCup_qualifier', 0.34835225343704224)] Copenhagen
[('United_States', 0.3604866862297058), ('Ecuador', 0.35541796684265137), ('Paraguay', 0.3538649082183838)] Santo_Domingo
[('Ecuador', 0.36722278594970703), ('Paraguay', 0.3638777732849121), ('United_States', 0.36059871315956116)] Quito
[('United_States', 0.36016836762428284), ('WCup_qualifier', 0.3489866256713867), ('Great_Britian', 0.3467593789100647)] Cairo
[('United_States', 0.3640146255493164), ('Paraguay', 0.3585348129272461), ('Ecuador', 0.35467827320098877)] San_Salvador
[('United_States', 0.3574115037918091), ('Paraguay', 0.3571650981903076), ('Great_Britian', 0.3531939387321472)] Malabo
[('United_States', 0.3612746298313141), ('Great_Britian', 0.3502126932144165), ('WCup_qualifier', 0.34532472491264343)] Addis_Ababa
