Afghan Kabul
Angolan Luanda
Argentina Buenos_Aires
Bahrain Manama
Bangladesh Dhaka
Belarus Minsk
Belize Belmopan
Bolivia Sucre
Burkina_Faso Ouagadougou
Ndjamena N'Djamena
Chile Santiago
China Beijing
Croatia Zagreb
Cuba Havana
Czech_Republic Prague
Denmark Copenhagen
Peru Santo_Domingo
Ecuador Quito
Egypt Cairo
El_Salvador San_Salvador
Equatorial_Guinea Malabo
Ethiopia Addis_Ababa
Algeria Libreville
Germany Berlin
Greece Athens
Honduras Tegucigalpa
Indonesia Jakarta
Iran Tehran
Iraqi Baghdad
Israel Jerusalem
Ivory_Coast Abidjan
Saudi_Arabia Amman
Kosovo Pristina
Laos Vientiane
Lesotho Maseru
Libya Tripoli
Lithuania Vilnius
Algeria Antananarivo
Malaysia Putrajaya
Malta Valletta
Algeria Rabat
Mozambique Maputo
Algeria Alofi
Norway Oslo
Pakistan Islamabad
Paraguay Asunción
Philippines Manila
Qatar Doha
Romania Bucharest
Russia Moscow
Rwanda Kigali
Dominica Castries
Algeria Dakar
Serbia Belgrade
Sierra_Leone Freetown
Slovakia Bratislava
Somalia Mogadishu
Somaliland Hargeisa
Spain Madrid
Sudan Khartoum
Umbelebele_Jomo_Cosmos Lobamba
Switzerland Bern
Zambia Dodoma
Thailand Bangkok
Algeria Lomé
Algeria Tunis
Ukraine Kiev
Britain London
Uruguay Montevideo
Vanuatu Port_Vila
Algeria Aden
Algeria Sana'a
Zambia Lusaka
