Guinea Conakry
Haiti Port_au_Prince
Kyrgyzstan Bishkek
East_Timor Dili
Montenegro Podgorica
Eritrea Asmara
Cameroon Yaoundé
South_Africa Pretoria
Nigeria Abuja
Slovenia Ljubljana
Peru Lima
Latvia Riga
South_Korea Seoul
Niger Niamey
Nepal Kathmandu
Australia Canberra
Solomon_Islands Honiara
Ghana Accra
New_Zealand Wellington
Colombia Bogotá
Japan Tokyo
Sweden Stockholm
Ivory_Coast Yamoussoukro
Poland Warsaw
Brazil Brasília
Venezuela Caracas
Vietnam Hanoi
Zimbabwe Harare
Namibia Windhoek
Tajikistan Dushanbe
Italy Rome
Myanmar Naypyidaw
Malawi Lilongwe
Liberia Monrovia
Taiwan Taipei
Benin Porto_Novo
Burundi Bujumbura
Austria Vienna
Bulgaria Sofia
France Paris
Saudi_Arabia Riyadh
Algeria Algiers
Estonia Tallinn
Kenya Nairobi
United_Arab_Emirates Abu_Dhabi
Syria Damascus
Turkey Ankara
Nicaragua Managua
Turkmenistan Ashgabat
Azerbaijan Baku
Barbados Bridgetown
Malaysia Kuala_Lumpur
Cyprus Nicosia
Suriname Paramaribo
Fiji Suva
Lebanon Beirut
South_Africa Cape_Town
Armenia Yerevan
Cambodia Phnom_Penh
Uzbekistan Tashkent
South_Africa Bloemfontein
Guinea_Bissau Bissau
Mongolia Ulaanbaatar
Sri_Lanka Colombo
Hungary Budapest
Kazakhstan Astana
Canada Ottawa
North_Korea Pyongyang
Netherlands Amsterdam
Swaziland Mbabane
Mali Bamako
Dominica Roseau
Mauritania Nouakchott
