[('Iran', 0.7293535470962524), ('Tehran', 0.6154943704605103), ('Iranian', 0.6114965081214905)] Armenian_dram
[('Euro', 0.699816107749939), ('Iran', 0.584078311920166), ('Euro####', 0.4992700219154358)] Euro
[('Iran', 0.7441984415054321), ('Iranian', 0.6290953159332275), ('Tehran', 0.6077179312705994)] Bulgarian_lev
[('Chilean_peso', 0.7842639684677124), ('Colombian_peso', 0.5830413699150085), ('Chile_peso', 0.5773056745529175)] Chilean_peso
[('Renminbi', 0.8086913824081421), ('renminbi', 0.5601112842559814), ('Renminbi_RMB', 0.5419571399688721)] Renminbi
[('Colombian_peso', 0.7658383846282959), ('Iran', 0.5626753568649292), ('Chile_peso', 0.5621324181556702)] Colombian_peso
[('Czech_koruna', 0.7484028339385986), ('Iran', 0.6138598918914795), ('Tehran', 0.5511683225631714)] Czech_koruna
[('Iran', 0.6650956869125366), ('Tehran', 0.5857216119766235), ('Iranian', 0.5454878807067871)] Ethiopian_birr
[('Euro', 0.699816107749939), ('Iran', 0.584078311920166), ('Euro####', 0.4992700219154358)] Euro
[('Euro', 0.699816107749939), ('Iran', 0.584078311920166), ('Euro####', 0.4992700219154358)] Euro
[('Hungarian_forint', 0.7617904543876648), ('Czech_koruna', 0.591029703617096), ('Slovakian_koruna', 0.5795735120773315)] Hungarian_forint
[('Iran', 0.6732786297798157), ('Iranian', 0.5536615252494812), ('Syria', 0.5460901856422424)] Lao_kip
[('Euro', 0.699816107749939), ('Iran', 0.584078311920166), ('Euro####', 0.4992700219154358)] Euro
[('Iran', 0.6954214572906494), ('Tehran', 0.5942615866661072), ('Iranian', 0.5841096639633179)] Libyan_dinar
[('Malaysian_ringgit', 0.7360813617706299), ('Iran', 0.5712135434150696), ('ringgit', 0.5449768304824829)] Malaysian_ringgit
[('Euro', 0.699816107749939), ('Iran', 0.584078311920166), ('Euro####', 0.4992700219154358)] Euro
[('Iran', 0.6661195755004883), ('Nigerian_naira', 0.5820105075836182), ('Iranian', 0.5592867732048035)] Nigerian_naira
[('Euro', 0.699816107749939), ('Iran', 0.584078311920166), ('Euro####', 0.4992700219154358)] Euro
[('Iran', 0.7606987953186035), ('Tehran', 0.655693769454956), ('Iranian', 0.6437593102455139)] Qatari_riyal
[('Euro', 0.699816107749939), ('Iran', 0.584078311920166), ('Euro####', 0.4992700219154358)] Euro
[('Iran', 0.6874750852584839), ('Saudi_riyal', 0.6773581504821777), ('Iranian', 0.6002894639968872)] Saudi_riyal
[('Euro', 0.699816107749939), ('Iran', 0.584078311920166), ('Euro####', 0.4992700219154358)] Euro
[('Iran', 0.6631166338920593), ('Tehran', 0.5888700485229492), ('Somali_shilling', 0.5786640048027039)] Somali_shilling
[('Euro', 0.699816107749939), ('Iran', 0.584078311920166), ('Euro####', 0.4992700219154358)] Euro
[('Swedish_krona', 0.7194018363952637), ('Iran', 0.5708637833595276), ('Iranian', 0.4983254671096802)] Swedish_krona
[('Swiss_franc', 0.7858328819274902), ('Swiss_Franc', 0.6347584128379822), ('safe_haven_Swiss_franc', 0.6075195074081421)] Swiss_franc
[('Iran', 0.6778736114501953), ('Tehran', 0.5948319435119629), ('Iranian', 0.591025710105896)] Somoni
[('Iran', 0.6932743191719055), ('Tehran', 0.5756535530090332), ('Iranian', 0.5501643419265747)] Tanzanian_shilling
[('CFA_franc', 0.7057691812515259), ('Iran', 0.6041133999824524), ('Tehran', 0.5184088349342346)] CFA_franc
[('Turkish_lira', 0.7332517504692078), ('Iran', 0.6554251313209534), ('Turkey', 0.5892093181610107)] Turkish_lira
[('Iran', 0.7038611173629761), ('Tehran', 0.5939332842826843), ('Iranian', 0.5845844745635986)] Ukrainian_hryvnia
[('Iran', 0.7178070545196533), ('Tehran', 0.6092064380645752), ('Iranian', 0.5841478109359741)] Yemeni_rial
[('Iran', 0.6811423301696777), ('Tehran', 0.5780161619186401), ('Iranian', 0.5521283149719238)] Zambian_kwacha
[('Iraq', 0.48664385080337524), ('Afghanistan', 0.44987475872039795), ('disengage_militarily', 0.37587231397628784)] Armenian_dram
[('Euro', 0.6512205600738525), ('European', 0.4618360698223114), ('Croatia', 0.4584832489490509)] Euro
[('Iraq', 0.5058526396751404), ('Afghanistan', 0.46934306621551514), ('Kosovo', 0.38663268089294434)] Bulgarian_lev
[('Chilean_peso', 0.7426266074180603), ('Chile_peso', 0.5625019073486328), ('Colombian_peso', 0.5089846253395081)] Chilean_peso
[('Renminbi', 0.773800790309906), ('renminbi', 0.5406939387321472), ('Renminbi_RMB', 0.527599036693573)] Renminbi
[('Colombian_peso', 0.7113605737686157), ('Chile_peso', 0.5555807948112488), ('COP2_###.##', 0.5032986402511597)] Colombian_peso
[('Czech_koruna', 0.6858960390090942), ('Poland_zloty', 0.45617911219596863), ('EUR_CZK', 0.45165544748306274)] Czech_koruna
[('Afghanistan', 0.4943889081478119), ('Iraq', 0.4830649793148041), ('Afghan_istan', 0.3908417224884033)] Ethiopian_birr
[('Euro', 0.6512205600738525), ('European', 0.4618360698223114), ('Croatia', 0.4584832489490509)] Euro
[('Euro', 0.6512205600738525), ('European', 0.4618360698223114), ('Croatia', 0.4584832489490509)] Euro
[('Hungarian_forint', 0.7283995747566223), ('Poland_zloty', 0.5093851089477539), ('Czech_koruna', 0.49703145027160645)] Hungarian_forint
[('Iraq', 0.4765058159828186), ('Afghanistan', 0.4326087236404419), ('Afgahnistan', 0.3768717050552368)] Lao_kip
