[('Slovenia', 0.46652770042419434), ('Slovakia', 0.45893192291259766), ('Paraguay', 0.44049400091171265)] Kabul
[('Paraguay', 0.5172215700149536), ('Slovenia', 0.505073070526123), ('Argentina', 0.5011202692985535)] Luanda
[('Argentina', 0.6000604629516602), ('Paraguay', 0.5291049480438232), ('Chile', 0.5226969122886658)] Buenos_Aires
[('Algeria', 0.4662867784500122), ('Slovenia', 0.46121102571487427), ('Paraguay', 0.45351237058639526)] Manama
[('Bangladesh', 0.5386612415313721), ('Slovenia', 0.4703574776649475), ('Paraguay', 0.45199793577194214)] Dhaka
[('Slovakia', 0.5511682033538818), ('Slovenia', 0.5463899970054626), ('Croatia', 0.4816797971725464)] Minsk
[('Paraguay', 0.4502447843551636), ('Slovenia', 0.44963839650154114), ('Argentina', 0.4301980137825012)] Belmopan
[('Argentina', 0.5048722624778748), ('Chile', 0.4988214373588562), ('Paraguay', 0.49168646335601807)] Sucre
[('Algeria', 0.5124187469482422), ('Slovenia', 0.4982459247112274), ('Argentina', 0.47694700956344604)] Ouagadougou
[('Algeria', 0.4747176766395569), ('Slovenia', 0.4612911641597748), ('Argentina', 0.42862468957901)] N'Djamena
[('Argentina', 0.4815959930419922), ('Chile', 0.4753541052341461), ('Paraguay', 0.4700487554073334)] Santiago
[('Slovenia', 0.4778059422969818), ('China', 0.4640800952911377), ('Slovakia', 0.45707419514656067)] Beijing
[('Slovenia', 0.5954309701919556), ('Croatia', 0.5849825143814087), ('Slovakia', 0.5625092387199402)] Zagreb
[('Argentina', 0.5191340446472168), ('Paraguay', 0.49371346831321716), ('Chile', 0.4797391891479492)] Havana
[('Slovakia', 0.535120964050293), ('Czech_Republic', 0.5160958766937256), ('Slovenia', 0.5153092741966248)] Prague
[('Slovenia', 0.4987240433692932), ('Norway', 0.4791209101676941), ('Denmark', 0.4751734733581543)] Copenhagen
[('Argentina', 0.5044887065887451), ('Chile', 0.48238781094551086), ('Paraguay', 0.48223423957824707)] Santo_Domingo
[('Ecuador', 0.5414879322052002), ('Paraguay', 0.5399926900863647), ('Argentina', 0.5386000871658325)] Quito
[('Algeria', 0.48287996649742126), ('Slovenia', 0.46691232919692993), ('Egypt', 0.4598480761051178)] Cairo
[('Paraguay', 0.5073919296264648), ('Argentina', 0.4924735724925995), ('Chile', 0.4858049154281616)] San_Salvador
